id,session_id,user_message,bot_response,is_synthetic,user_chars,bot_chars,user_tokens,bot_tokens,request_start_time,retrieval_end_time,response_end_time,retrieval_duration_sec,generation_duration_sec,total_duration_sec
1,47827581-4ceb-459c-b358-64f958614cd2,Qual é o objeto específico do Edital de Transação Tributária nº 01/2025 e qual o valor remanescente mínimo para inclusão de créditos?,"Olá! Sou o assistente virtual do Quita Goiás e posso te ajudar com essa informação.

O **objeto específico** do Edital nº 01/2025 é a **transação de créditos tributários inscritos em Dívida Ativa do Estado de Goiás que são considerados irrecuperáveis ou de difícil recuperação**.

Para que uma dívida possa ser incluída nesse acordo, ela precisa ter um **valor remanescente superior a R$ 500.000,00 (quinhentos mil reais)**.

Em resumo:
*   **Objeto:** Transação de dívidas tributárias inscritas em Dívida Ativa de Goiás, classificadas como irrecuperáveis ou de difícil recuperação.
*   **Valor Mínimo:** A dívida deve ter um valor remanescente acima de **R$ 500.000,00**.

Espero que esta explicação clara ajude! Se tiver mais alguma dúvida, é só perguntar.",True,133,758,1474,213,2026-01-07 22:04:44.050633,2026-01-07 22:04:45.472049,2026-01-07 22:04:51.446919,1.421416,5.97487,7.396286
2,47827581-4ceb-459c-b358-64f958614cd2,Quais são as modalidades de transação previstas na Lei Complementar nº 197/2024?,"Desculpe, não encontrei essa informação específica nos documentos oficiais do Programa Quita Goiás aos quais tenho acesso. Sou um assistente focado estritamente nas regras atuais do programa. Poderia reformular sua pergunta?",True,80,224,1754,45,2026-01-07 22:05:16.351819,2026-01-07 22:05:17.344522,2026-01-07 22:05:23.085103,0.992703,5.740581,6.733284
3,47827581-4ceb-459c-b358-64f958614cd2,Qual é o canal de comunicação oficial (e-mail) entre o contribuinte e a Procuradoria-Geral do Estado (PGE) para os procedimentos de transação?,"Olá! Sou o assistente virtual do Quita Goiás e posso te ajudar com essa informação importante.

O canal oficial de comunicação para **TODAS** as etapas e procedimentos de transação entre o contribuinte e a Procuradoria-Geral do Estado (PGE) é o e-mail:

*   **ntt@pge.go.gov.br**

Este e-mail deve ser usado para:
*   Cadastro
*   Dúvidas
*   Envio de documentos
*   Impugnações
*   Todas as demais comunicações

É fundamental utilizar este canal para garantir que suas mensagens sejam recebidas e processadas corretamente pela PGE.",True,142,532,1284,140,2026-01-07 22:06:27.467033,2026-01-07 22:06:28.668029,2026-01-07 22:06:35.513006,1.200996,6.844977,8.045973
4,47827581-4ceb-459c-b358-64f958614cd2,A transação constitui um direito subjetivo do contribuinte?,"Olá! Sou o assistente virtual do Quita Goiás e posso esclarecer essa dúvida.

Não, a transação **não constitui um direito subjetivo do contribuinte**.

Isso significa que:
*   A transação não é um direito garantido que você pode exigir.
*   O deferimento (aprovação) do seu pedido de transação dependerá da verificação de que você cumpriu todas as exigências e regras estabelecidas.
*   O Estado de Goiás, representado pela Procuradoria-Geral do Estado (PGE), fará uma análise de conveniência e oportunidade para decidir se aceita ou não o pedido.

Em resumo, a aprovação da transação depende do cumprimento das regras e da análise da PGE.",True,59,639,1530,156,2026-01-07 22:07:11.986932,2026-01-07 22:07:12.935980,2026-01-07 22:07:20.151087,0.949048,7.215107,8.164155
5,47827581-4ceb-459c-b358-64f958614cd2,Quais são os limites máximos de desconto e prazo de quitação estabelecidos como regra geral?,"Olá! Sou o assistente virtual do Quita Goiás e posso te informar sobre os limites gerais de desconto e prazo de quitação.

Como **regra geral**, os limites máximos estabelecidos para a transação são:

*   **Desconto Máximo:** Você pode conseguir um desconto de até **65%** (sessenta e cinco por cento) do valor total dos créditos que serão negociados.
    *   **Importante:** Esse desconto é aplicado somente sobre as multas, juros e outros acréscimos legais, e **não sobre o valor original do imposto (montante principal)**.
*   **Prazo Máximo de Quitação:** O parcelamento pode ser feito em até **120 meses** (cento e vinte meses), o que equivale a 10 anos.

Esses são os limites padrão do programa. Se tiver mais alguma dúvida, é só perguntar!",True,92,746,1839,192,2026-01-07 22:07:50.656218,2026-01-07 22:07:51.775089,2026-01-07 22:07:59.572934,1.118871,7.797845,8.916716
6,47827581-4ceb-459c-b358-64f958614cd2,Quais grupos de contribuintes têm direito ao desconto máximo ampliado de 70% e ao prazo de 145 meses?,"Olá! Sou o assistente virtual do Quita Goiás e posso te informar quais grupos de contribuintes têm direito a condições mais vantajosas.

Sim, alguns grupos de contribuintes têm direito a um **desconto máximo ampliado de 70%** e a um **prazo de quitação de até 145 meses**.

Esses grupos são:

*   **Pessoa Natural** (ou seja, pessoa física)
*   **Microempresa (ME)**
*   **Empresa de Pequeno Porte (EPP)**
*   **Empresas em recuperação judicial**
*   **Empresas em liquidação judicial**
*   **Empresas em liquidação extrajudicial**
*   **Empresas em falência**
*   **Microempreendedor Individual (MEI)** (que se enquadra como pessoa física ou microempresa)

Para esses contribuintes, as condições são:
*   **Desconto Máximo:** **70%**
*   **Prazo Máximo de Quitação:** **145 meses**

É importante notar que essas condições se aplicam a **todos os créditos aptos** para transação para esses grupos específicos.

Se tiver mais alguma dúvida, estou à disposição!",True,101,959,2060,267,2026-01-07 22:08:46.483033,2026-01-07 22:08:47.449472,2026-01-07 22:08:56.957161,0.966439,9.507689,10.474128
7,47827581-4ceb-459c-b358-64f958614cd2,O desconto da transação incide sobre o montante principal do tributo?,"Olá! Sou o assistente virtual do Quita Goiás e posso esclarecer essa dúvida importante.

Não, o desconto da transação **não incide sobre o montante principal (o valor original do tributo)**.

É fundamental entender que:
*   A transação **não pode reduzir o valor original do imposto** que você deve.
*   Os descontos são aplicados **somente sobre as multas, os juros e outros acréscimos legais** que foram gerados pela dívida.

Em resumo, o valor do imposto em si permanece o mesmo, mas os encargos adicionais podem ser significativamente reduzidos.",True,69,549,2383,136,2026-01-07 22:11:13.659911,2026-01-07 22:11:14.592366,2026-01-07 22:11:23.951021,0.932455,9.358655,10.29111
8,47827581-4ceb-459c-b358-64f958614cd2,Quais são os dois requisitos cumulativos necessários para que o ajuste de transação seja considerado formalizado?,"Olá! Sou o assistente virtual do Quita Goiás e posso te explicar quando um acordo de transação é considerado formalmente fechado.

Para que o ajuste de transação seja considerado **formalizado** (ou seja, para que ele comece a valer), é necessário que **dois requisitos sejam cumpridos juntos (cumulativamente)**. Não basta cumprir apenas um, é preciso cumprir os dois:

1.  **Assinatura do termo eletrônico de transação:** Você precisa assinar o documento eletrônico que formaliza o acordo.
2.  **Pagamento da parcela única ou da primeira parcela no prazo de vencimento:** É preciso efetuar o pagamento da sua primeira obrigação financeira (seja a parcela única ou a primeira de muitas parcelas) dentro do prazo estabelecido.

Somente após a assinatura do termo eletrônico E o pagamento inicial, o seu acordo será considerado oficialmente fechado e válido.

Se tiver mais alguma dúvida, estou à disposição!",True,113,907,2346,204,2026-01-07 22:12:19.954718,2026-01-07 22:12:20.987219,2026-01-07 22:12:33.584748,1.032501,12.597529,13.63003
9,47827581-4ceb-459c-b358-64f958614cd2,"Qual é a implicação jurídica imediata da assinatura do termo eletrônico de transação, mesmo que o pagamento inicial não seja realizado?","Olá! Sou o assistente virtual do Quita Goiás e posso esclarecer essa dúvida importante sobre a assinatura do termo de transação.

A **implicação jurídica imediata** da assinatura eletrônica do termo de transação, **mesmo que você não pague a primeira parcela**, é a **confissão irrevogável e irretratável dos débitos abrangidos**.

Em termos mais simples, isso significa que:
*   Ao assinar o termo, você está **reconhecendo oficialmente** que deve os valores que fazem parte do acordo.
*   Essa confissão é **irreversível** (irretratável) e **não pode ser desfeita** (irrevogável).

Portanto, a assinatura é um passo muito sério, pois formaliza o reconhecimento da dívida, independentemente do pagamento inicial.

Se tiver mais alguma dúvida, estou à disposição!",True,135,763,2791,185,2026-01-07 22:13:45.407139,2026-01-07 22:13:46.390672,2026-01-07 22:14:30.276186,0.983533,43.885514,44.869047
10,47827581-4ceb-459c-b358-64f958614cd2,"Qual o prazo limite de atraso no pagamento de parcelas que configura um vício insanável e causa de rescisão, na hipótese de parcelamento?","Olá! Sou o assistente virtual do Quita Goiás e posso te explicar as condições de atraso no pagamento que podem levar à rescisão (cancelamento) da sua transação.

A transação pode ser rescindida (cancelada) se você atrasar o pagamento das parcelas nas seguintes situações:

1.  **Atraso no número de parcelas:** Se houver **atraso no pagamento de mais de 3 (três) parcelas**, sejam elas sucessivas (seguidas) ou não.
2.  **Atraso prolongado de qualquer parcela:** Ou, se **qualquer uma das parcelas** for paga com um atraso que ultrapasse **30 (trinta) dias corridos da data final do prazo total do seu parcelamento**.

Portanto, o ""prazo limite de atraso"" para uma única parcela, que pode causar a rescisão, é de **30 (trinta) dias corridos após a data final do prazo total do seu parcelamento**. Além disso, o acúmulo de mais de 3 parcelas em atraso também é uma causa de rescisão.

É muito importante ficar atento a esses prazos para não ter seu acordo cancelado! Se tiver mais alguma dúvida, estou à disposição.",True,137,1014,3317,266,2026-01-07 22:15:18.393076,2026-01-07 22:15:19.347019,2026-01-07 22:15:41.638442,0.953943,22.291423,23.245366
